,ROE,ROA,Margem Liquida,Margem Bruta,Divida Liquida,EBITDA,Divida_Liquida_EBITDA,Liquidez Corrente,PL/Ativos,Passivos/Ativos,Margem Ebit,Lucro Líquido,Dividendos Propostos (BPP),Dividendos a Pagar (BPP),Dividendos Pagos (DFC),Payout Contábil (%),Payout Caixa (%),FCL,Dividendos_Pagos_Total,Total_Acoes,VPA,LPA,Giro Ativos,Ticker_CVM,Ano,Dividendos_Pagos_T1,CNPJ,ticker
0,0.0,0.0,0.0,27.498,-14171200.0,35524338.0,-0.399,74.806,84.045,100.0,-18.449,0.0,0.0,0.0,-8997310.0,0.0,0.0,27955600.0,8997310.0,0.0,0.0,0.0,8.477,1023,2019,6070660.0,00000000000191,BBAS3
1,78.681,0.785,13.473,56.181,585199400.0,-4678300.0,-125.088,56.866,0.997,100.0,-44.446,13292900.0,0.0,0.0,-4199580.0,0.0,31.593,111267400.0,6070660.0,2853241685.0,0.006,0.005,5.825,1023,2020,7124615.0,00000000000191,BBAS3
2,101.201,1.038,15.66,47.38,653247000.0,4036400.0,161.839,26.542,1.026,100.0,-28.333,19722900.0,0.0,0.0,-6454960.0,0.0,32.728,-98266200.0,7124615.0,2853442384.0,0.007,0.007,6.631,1023,2021,13175440.0,00000000000191,BBAS3
3,135.941,1.487,12.619,31.43,734952500.0,17571900.0,41.825,24.894,1.094,100.0,-15.238,29849300.0,0.0,0.0,-11810300.0,0.0,39.566,48047100.0,13175440.0,2853636259.0,0.008,0.01,11.782,1023,2022,15358300.0,00000000000191,BBAS3
4,152.227,1.54,12.495,33.435,794616300.0,17520500.0,45.354,21.915,1.012,100.0,-17.933,33165600.0,0.0,0.0,-12956500.0,0.0,39.066,36381900.0,15358300.0,2853776040.0,0.008,0.012,12.324,1023,2023,16563560.0,00000000000191,BBAS3
5,16.891,10.236,9.329,42.329,175923.0,215917.0,0.815,2.434,60.601,100.0,-32.626,280536.0,25300.0,1725.0,-83939.0,9.633,29.921,-41662.0,83939.0,0.0,0.0,0.0,109.715,10456,2012,109726.0,61079117000105,ALPA3
6,16.886,9.214,9.042,41.465,422152.0,236039.0,1.788,2.153,54.565,100.0,-31.967,309763.0,32700.0,2135.0,-11157.0,11.246,3.602,-107864.0,109726.0,0.0,0.0,0.0,101.903,10456,2013,116303.0,61079117000105,ALPA3
7,13.638,7.857,7.721,40.371,197393.0,230124.0,0.858,2.148,57.613,100.0,-31.614,286528.0,147100.0,2074.0,-10310.0,52.063,3.598,424083.0,116303.0,0.0,0.0,0.0,101.771,10456,2014,424894.0,61079117000105,ALPA3
8,13.631,6.995,6.38,42.64,277766.0,245967.0,1.129,1.687,51.315,100.0,-33.702,263248.0,0.0,4785.0,-12400.0,1.818,4.71,379907.0,424894.0,0.0,0.0,0.0,109.64,10456,2015,131790.0,61079117000105,ALPA3
9,17.353,9.478,8.842,44.403,201327.0,370579.0,0.543,2.274,54.62,100.0,-32.753,358473.0,0.0,4891.0,-9689.0,1.364,2.703,231969.0,131790.0,0.0,0.0,0.0,107.201,10456,2016,149337.0,61079117000105,ALPA3
10,15.482,9.097,9.419,44.053,104405.0,87822.0,1.189,2.176,58.763,100.0,-33.859,350562.0,97439.0,5044.0,-4712.0,29.234,1.344,234693.0,149337.0,0.0,0.0,0.0,96.585,10456,2017,206408.0,61079117000105,ALPA3
11,13.12,8.142,8.299,43.868,94152.0,188284.0,0.5,2.06,62.055,100.0,-32.136,324041.0,0.0,4399.0,-6576.0,1.358,2.029,213644.0,206408.0,0.0,0.0,0.0,98.101,10456,2018,36.0,61079117000105,ALPA3
12,9.484,5.735,6.986,50.292,-287513.0,122832.0,-2.341,2.077,60.472,100.0,-38.734,259335.0,0.0,10665.0,0.0,4.112,0.0,382097.0,36.0,0.0,0.0,0.0,82.091,10456,2019,30207.0,61079117000105,ALPA3
13,4.204,2.635,3.772,52.338,-449140.0,-349784.0,1.284,2.098,62.696,100.0,-44.185,126886.0,0.0,1933.0,-62876.0,1.523,49.553,195076.0,30207.0,578911428.0,0.005,0.0,69.877,10456,2020,148590.0,61079117000105,ALPA3
14,19.975,8.623,17.54,49.554,-472672.0,518573.0,-0.911,0.751,43.169,100.0,-33.872,692563.0,0.0,91755.0,-31410.0,13.249,4.535,101510.0,148590.0,579082028.0,0.006,0.001,49.162,10456,2021,89283.0,61079117000105,ALPA3
15,1.884,1.277,2.595,46.097,627739.0,23780.0,26.398,2.524,67.764,100.0,-41.288,108531.0,0.0,2472.0,-31213.0,2.278,28.76,-3434641.0,89283.0,674350042.0,0.009,0.0,49.2,10456,2022,23.0,61079117000105,ALPA3
